id,Name,years,Remarks
1454,SuperEx,2023,Operating a recognized market without authorization from the SC
1455,Sahabat Investing F9,2023,"• Illegal investment scheme offering high returns e.g return of RM8,100 in 2 days with investment of RM650

• Carrying on unlicensed capital market activities of dealing in securities"
1456,Potential clone entity – SINEGY / Global Investment Academy,2023,Misusing the name and credentials of SINEGY DAX Sdn. Bhd. (a registered Digital Asset Exchange (DAX) operator with the SC) to carry out an illegal investment scheme offering high returns
1457,Stargaze Capital,2023,Carrying on unlicensed capital market activities of dealing in securities
1458,Potential clone entity – sinegyXhsbc Securities Ltd / Trade With Maybank,2023,"• Misusing the name and credentials of SINEGY DAX Sdn Bhd (a registered Digital Asset Exchange (DAX) operator with the SC)• Misusing the name and credentials of HSBC Bank Malaysia Berhad (a licensed Commercial Bank with Bank Negara Malaysia)• Misusing the name and credentials of Maybank Investment Bank Berhad (eCMSL/A0089/2007) a licensed entity with SC for Dealing in Securities, Clearing, Dealing in Derivatives, Advising on Corporate Finance and Investment Advice• Possible clone operating an illegal investment scheme offering high returns e.g. return of RM10,000 in 2-3 hours with investment of RM500"
1459,Potential clone entity – Sinegy Future Investment,2023,"Misusing the name and credentials of SINEGY DAX Sdn. Bhd. (a registered Digital Asset Exchange (DAX) operator with the SC) to carry out an illegal investment scheme offering high returns e.g return of RM10,000 in 3-6 hours with investment of RM500"
1460,Silver Aspire 248,2023,"• Illegal investment scheme offering high returns e.g return of RM7,892 in 4 hours with investment of RM300

• Carrying on unlicensed capital market activities of dealing in securities

• Misrepresentation and misuse of SC’s logo"
1461,Stars Invest Malaysia,2023,"• Illegal investment scheme offering high returns e.g return of RM30,000 in 3 hours with investment of RM1,000• Carrying on unlicensed capital market activities of dealing in securities"
1462,SureX,2023,Operating a recognized market without authorization from the SC
1463,Potential clone entity – Success Mutual Trading,2023,"• Possible clone operating an Illegal investment scheme offering high returns e.g return of RM9,000 in 12 hours with investment of RM650

• Carrying on unlicensed capital market activities of dealing in securities"
1464,Potential clone entity – Shariah Screener Malaysian Investment,2023,"• Possible clone operating an Illegal investment scheme offering high returns e.g return of RM30,000 in 3 hours with investment of RM1,000

• Carrying on unlicensed capital market activities of dealing in securities"
1465,Sutera Saham,2023,"• Illegal investment scheme offering high returns e.g return of RM10,999 with investment of RM300

• Carrying on unlicensed capital market activities of dealing in securities"
1466,Star Trade,2023,"• Illegal investment scheme offering high returns e.g return of RM20,000 in 3 hours with investment of RM200

• Carrying on unlicensed capital market activities of dealing in securities"
1467,Smart Forex Asian / Smart Forex,2023,"• Illegal investment scheme offering high returns e.g return of RM7,000 in 3-6 hours with investment of RM500

• Carrying on unlicensed capital market activities of dealing in securities"
1468,Smart Forex,2023,Carrying on unlicensed capital market activities of dealing in securities
1469,Xpert Investment,2023,"• Illegal investment scheme offering high returns e.g return of RM10,000 in 3 hours with investment of RM350

• Carrying on unlicensed capital market activities of dealing in securities"
1470,Bitfarme,2022,Operating a digital asset exchange (DAX) without registration
1471,MEXC Global,2022,Operating a digital asset exchange (DAX) without registration
1472,Huobi Global,2022,Operating a digital asset exchange (DAX) without registration
1473,SkywardAsset,2022,Operating a digital asset exchange (DAX) without registration
1474,T-Set,2022,Operating a digital asset exchange (DAX) without registration
1475,Bitcoin Loophole,2022,"• Carrying on unlicensed capital market activities of dealing in securities

• Operating a digital asset exchange (DAX) without registration"
1476,Capital Ibra Maslahat Bumiputra Bank Berhad (C-I-M-B),2022,Operating a digital asset exchange (DAX) without registration
1477,Paxful,2022,Operating a digital asset exchange (DAX) without registration
1478,Potential clone entity – AVA Trade Malaysia,2022,"• Possible clone operating an Illegal investment scheme offering high returns e.g return of RM10,000 in 3-6 hours with investment of RM1,000

• Carrying on unlicensed capital market activities of fund management"
1479,Angel & Co,2022,The website is promoting trading platforms which include those that are highlighted in the SC’s Alert List for unlicensed activities in Malaysia
1480,Avant Markets,2022,Carrying on unlicensed capital market activities of dealing in securities
1481,Amega,2022,Carrying on unlicensed capital market activities of dealing in securities
1482,Potential clone entity – Amundi Asset Management,2022,"• Misusing the name and credentials of Amundi Malaysia Sdn Bhd (CMSL/A0231/2008) a licensed entity with SC for fund management in relation to portfolio management to carry out illegal investment scheme offering high returns e.g. return of RM8,500 in 24 hours with investment of RM600. 

• Misrepresentation, misusing SC’s name and logo"
1483,Potential clone entity – AmBank Islamic Trading,2022,"Misusing the name and credentials of AmBank Islamic Berhad (a licensed Islamic Bank with Bank Negara Malaysia) to carry out an illegal investment scheme offering high returns e.g. return of RM15,000 in 3-6 hours with investment of RM1,000"
1484,Potential clone entity – Aberdeen Standard Investment,2022,"• Misusing the name and credentials of abrdn Malaysia Sdn Bhd (formerly known as Aberdeen Standard Investments (Malaysia) Sdn Bhd) a licensed entity with SC for fund management to carry out an illegal investment scheme offering high returns e.g. return of RM8,500 with investment of RM600

• Misrepresentation, misusing SC’s name and logo"
1485,Potential clone entity – Aberdeen Syariah Asset Investments,2022,"• Misusing the name and credentials of abrdn Malaysia Sdn Bhd (formerly known as Aberdeen Standard Investments (Malaysia) Sdn Bhd) a licensed entity with SC for fund management to carry out an illegal investment scheme offering high returns e.g. return of RM8,500 in 1 – 3 days with investment of RM600

• Misrepresentation and misuse of SC’s name"
1486,Al-Saliha Mentari,2022,"• Carrying on unlicensed capital market activities of dealing in securities

• Misrepresentation, misusing SC’s name and logo"
1487,Potential clone entity – Axim Trade Financial Management / Axim Trade Investment,2022,"• Possible clone operating an illegal investment scheme offering high returns e.g. return of RM13,600 with investment of RM8,000

• Carrying on unlicensed capital market activities of fund management"
1488,Potential clone entity – Asia Trade FX,2022,"• Possible clone operating an illegal investment scheme

• Carrying on unlicensed capital market activities of dealing in securities"
1489,Potential clone entity – Asia Bio Capital,2022,"• Possible clone operating an illegal investment scheme offering high returns e.g. return of RM14,600 in 24 hours with investment of RM700

• Carrying on unlicensed capital market activities of fund management"
1490,Potential clone entity – Assets Global Network,2022,"• Possible clone operating an illegal investment scheme

• Carrying on unlicensed capital market activities of fund management"
1491,ASJ Forex Global,2022,Carrying on unlicensed capital market activities of dealing in securities
1492,AlexisFX,2022,"• Illegal investment scheme offering high returns e.g. return of RM7,000 in 3 hours with investment of RM500

• Carrying on unlicensed capital market activities of dealing in securities and

• Operating a recognized market without authorization from the SC"
1493,Awesome Trader,2022,"• Platform operating an Illegal investment scheme

• Carrying on unlicensed capital market activities of dealing in securities and derivatives"
1494,Al-Hamd Islamic Financial Group,2022,Carrying on unlicensed capital market activities of dealing in securities
1495,Potential clone entity – AstroFX,2022,"• Possible clone operating an illegal investment scheme offering high returns e.g return of RM7,000 in 3-6 hours with investment of RM500

• Carrying on unlicensed capital market activities of dealing in securities"
1496,Potential clone entity – AVA Financial Trade /  AVA Financial Syariah,2022,"• Possible clone operating an illegal investment scheme offering high returns e.g return of RM20,000 in 6 hours with investment of RM10,000

• Carrying on unlicensed capital market activities of dealing in securities"
1497,ASEAN Invest Telegram Group,2022,"• Carrying on unlicensed capital market activities of dealing in securities

• Illegal investment scheme offering high returns e.g return of RM5,500 in 3-6 hours with investment of RM500"
1498,Al-Fazza Ventures,2022,"• Carrying on the regulated activity of fund management without a license

• Misrepresentation, misuse of SC’s name"
1499,ACY Securities,2022,Carrying on unlicensed capital market activities of dealing in securities
1500,Potential clone entity – Al Ramz General Trading / Syarikat Al Ramz Investment,2022,"• Possible clone operating an illegal investment scheme offering high returns e.g. return of RM24,000 in 24 hours with investment of RM1,200

• Carrying on unlicensed capital market activities of dealing in securities"
1501,Bitcoin Up,2022,Carrying on unlicensed capital market activities of dealing in securities
1502,BE Profit,2022,Carrying on unlicensed capital market activities of fund management
1503,Big Business Trading Online,2022,Carrying on unlicensed capital market activities of fund management
1504,Bitcoin Trading Malaysia,2022,"• Illegal investment scheme offering high returns e.g return of RM30,000 in 3 hours with investment of RM1,000

• Carrying on unlicensed capital market activities of fund management"
1505,Binary Commerce / Master Binary Trading Signals,2022,"• Illegal investment scheme offering high returns e.g return of RM10,000 with investment of RM500• Carrying on unlicensed capital market activities of dealing in securities"
1506,BTC Coinhatch,2022,"• Illegal investment scheme offering high returns e.g. return of RM1,500 in 3 hours with investment of RM1,000

• Carrying on unlicensed capital market activities of dealing in securities"
1507,Bitcoin Foundation,2022,"• Platform operating an Illegal investment scheme

• Carrying on unlicensed capital market activities of fund management

• Misrepresentation, misuse of SC’s name"
1508,Potential clone entity – Bacera Co Pty Ltd,2022,"• Possible clone operating an Illegal investment scheme

• Misrepresentation, misuse of SC’s name"
1509,BTC Investment Asia / FX Trading,2022,Carrying on unlicensed capital market activities of dealing in securities
1510,Potential clone entity – Blue Crest Equity,2022,"• Possible clone operating an illegal investment scheme

• Carrying on unlicensed capital market activities of fund management"
1511,Potential clone entity – Bursa Saham Malaysia / Bangkit Pelaburan Saham,2022,"Misusing the name and credentials of Bursa Malaysia Berhad (an exchange holding company under the purview of the SC and the Ministry of Finance) to carry out an illegal investment scheme offering high returns e.g return of RM7,000 with investment of RM500"
1512,Binary Financial / Binary Financial Trade,2022,"• Illegal investment scheme offering high returns e.g return of RM9,000 in 3-6 hours with investment of RM700

• Carrying on unlicensed capital market activities of dealing in securities"
1513,Binary Trade Pro / Binary Trade Malaysia,2022,"• Carrying on unlicensed capital market activities of dealing in securities

• Illegal investment scheme offering high returns e.g return of RM7,000 in 3-6 hours with investment of RM500"
1514,Potential clone entity – Best Exchange,2022,"• Possible clone operating an illegal investment scheme offering high returns e.g return of RM10,000 in 3 hours with investment of RM1,000

• Carrying on unlicensed capital market activities of dealing in securities

• Misrepresentation, misuse of SC’s name and logo."
1515,Hairul Capital,2022,"• Illegal investment scheme offering high returns e.g return of RM8,100 in 2 days with investment of RM600

• Carrying on unlicensed capital market activities of dealing in securities

• Misrepresentation, misuse of SC’s name and logo"
1516,Holdings Trading,2022,"• Illegal investment scheme offering high returns e.g return of RM8,000 in 3 hours with investment of RM500

• Carrying on unlicensed capital market activities of dealing in securities"
1517,Holdings Profit,2022,Carrying on unlicensed capital market activities of dealing in securities
1518,Potential clone entity – Hasbrique Capitale,2022,"• Possible clone operating an illegal investment scheme

• Carrying on unlicensed capital market activities of fund management"
1519,Halley Dragon BTC Mining-Malaysia,2022,Offering of securities without SC’s approval
1520,Potential clone entity – Hot Forex Trade,2022,"• Possible clone operating an Illegal investment scheme offering high returns e.g return of RM5,000 with investment of RM100

• Carrying on unlicensed capital market activities of dealing in securities"
1521,Potential clone entity – Interactive Brokers 9997717,2022,"• Possible clone operating an illegal investment scheme

• Carrying on unlicensed capital market activities of dealing in securities"
1522,Ipot Malay,2022,"• Illegal investment scheme offering high returns e.g return of RM15,000 in 3-6 hours with investment of RM1,000

• Carrying on unlicensed capital market activities of dealing in securities"
1523,Investment Without Capital,2022,"• Illegal investment scheme offering high returns e.g return of RM7,000 in 3 hours with investment of RM550

• Carrying on unlicensed capital market activities of dealing in securities"
1524,Invest Mariox Malaysia / Mariox Trader Malaysia,2022,"• Illegal investment scheme offering high returns e.g return of RM7,000 in 6 hours with investment of RM500

• Carrying on unlicensed capital market activities of dealing in securities"
1525,Investment Global Trader Malaysia,2022,"• Illegal investment scheme offering high returns e.g. return of RM9,000 in 3-6 hours with investment of RM500

• Carrying on unlicensed capital market activities of fund management"
1526,Potential clone entity – Invest Johor Malaysia Telegram Group,2022,"• Possible clone operating an illegal investment scheme offering high returns e.g. return of RM15,000 in 3 hours with investment of RM1,000

• Carrying on unlicensed capital market activities of fund management"
1527,Potential clone entity – Interactive Broker Invest,2022,"• Possible clone operating an illegal investment scheme

• Carrying on unlicensed capital market activities of dealing in securities"
1528,Potential clone entity – Infinox Trading Power,2022,"• Possible clone operating an illegal investment scheme

• Carrying on unlicensed capital market activities of dealing in securities

• Misrepresentation, misuse of SC’s name"
1529,Intraderkor Pro,2022,Carrying on unlicensed capital market activities of dealing in securities
1530,Insta Trade Syariah,2022,"• Illegal investment scheme offering high returns e.g return of RM1,600 with investment of RM1,000

• Carrying on unlicensed capital market activities of dealing in securities"
1531,Potential clone entity – Investure Sdn. Bhd.,2022,"• Possible clone operating an Illegal investment scheme

• Carrying on unlicensed capital market activities of fund management

• Misrepresentation, misuse of SC’s name"
1532,Invest Tipster,2022,Carrying on unlicensed capital market activities of providing investment advice
1533,Potential clone entity – IQ Option,2022,"• Possible clone operating an Illegal investment scheme

• Carrying on unlicensed capital market activities of fund management

• Misrepresentation, misuse of SC’s name"
1534,Potential clone entity – Interpac.site,2022,"Misusing the name and credentials of Inter-Pacific Securities Sdn Bhd (eCMSL/A0007/2007) a licensed entity with SC for Dealing in Securities, Clearing, Dealing in Derivatives and Advising on Corporate Finance to carry out an illegal investment scheme."
1535,Potential clone entity – InvestKL Corporation Malaysia / Invest KL Malaysia,2022,"Misusing the name and credentials of Invest KL Corporation (957672-K), an agency under the Ministry of International Trade and Industry (MITI) to carry out an illegal investment scheme offering high returns e.g return of RM15,000 in 3 hours with investment of RM1,000"
1536,Potential clone entity – IntegraFin,2022,Carrying on unlicensed capital market activities of fund management
1537,INV Trade,2022,"• Carrying on unlicensed capital market activities of dealing in securities and derivatives

• Illegal investment scheme offering high returns e.g. return of RM20,000 in an hour with investment of RM10,000"
1538,Mr. USB (Usahawan Saham Bumiputera),2022,Carrying out unlicensed capital market activities of providing investment advice
1539,Max Capital,2022,"• Illegal investment scheme offering high returns e.g return of RM7,000 with investment of RM500

• Carrying on unlicensed capital market activities of dealing in securities"
1540,Max Trader Forbes / Forbes Tech / Investment Group / Max Value Trading,2022,"• Illegal investment scheme offering high returns e.g return of RM7,500 with investment of RM600

• Carrying on unlicensed capital market activities of dealing in securities"
1541,Potential clone entity – MY Malaysian Investment Development Authority MY Telegram Group,2022,"Misusing the name and credentials of Malaysian Investment Development Authority (MIDA) an agency under the Ministry of International Trade and Industry (MITI) to carry out an illegal investment scheme offering high returns e.g. return of RM15,000 in 3-6 hours with investment of RM500"
1542,Mys_Tradevest,2022,"• Illegal investment scheme offering high returns e.g return of RM20,000 in 3-6 hours with investment of RM200

• Carrying on unlicensed capital market activities of fund management"
1543,Potential clone entity – M+ Online 110,2022,"Misusing the name and credentials of M+ Online under Malacca Securities Sdn Bhd (eCMSL/A0004/2007) a licensed entity with SC for Dealing in Securities, Advising on corporate finance and Investment advice to carry out an illegal investment scheme."
1544,Millions Table / Avant Garde Takaful,2022,Carrying on unlicensed capital market activities of fund management
1545,Money Berjaya Trading,2022,"• Platform operating an Illegal investment scheme

• Carrying on unlicensed capital market activities of dealing in securities"
1546,Master Trading Binary,2022,"• Illegal investment scheme offering high returns e.g return of RM2,500 in 24 hours with investment of RM500

• Carrying on unlicensed capital market activities of dealing in securities"
1547,Malaysia Financial BTC,2022,"• Illegal investment scheme offering high returns e.g return of RM7,000 in 3 hours with investment of RM550

• Carrying on unlicensed capital market activities of dealing in securities"
1548,Potential clone entity – Maybank Pelaburan Syariah / Maybank Islamic Pelaburan Syariah,2022,"Misusing the name and credentials of Maybank Islamic Asset Management Sdn. Bhd. (a licensed entity with SC for fund management in relation to portfolio management) to carry out an illegal investment scheme offering high returns e.g return of RM15,000 in 3-6 hours with investment of RM1,000"
1549,Multination May Trade,2022,"• Illegal investment scheme offering high returns e.g. return of RM4,200 in 6 hours with investment of RM2,000

• Carrying on unlicensed capital market activities of fund management"
1550,Market Syariah,2022,Carrying on unlicensed capital market activities of dealing in securities
1551,Potential clone entity – Maher Saham,2022,"• Illegal investment scheme offering high returns e.g return of RM15,000 in 3 hours with investment of RM1,000

• Carrying on unlicensed capital market activities of dealing in securities"
1552,Malayan Trade,2022,"• Illegal investment scheme offering high returns e.g return of RM2,000 in 6 hours with investment of RM200

• Carrying on unlicensed capital market activities of fund management

• Misrepresentation, misuse of SC’s name"
1553,Potential clone entity – Maybank Investment / Maybank Syariah Telegram Group,2022,"Misusing the name and credentials of Maybank Investment Bank Berhad (a licensed entity with SC for Dealing in Securities, Clearing, Dealing in Derivatives, Advising on Corporate Finance and Investment Advice) to carry out an illegal investment scheme offering high returns e.g return of RM15,000 in 6 hours with investment of RM1,000"
1554,Mayforex / Online Trader Mayforex / Pelaburan Trading Mayforex,2022,"• Carrying on unlicensed capital market activities of dealing in securities

• Illegal investment scheme offering high returns e.g. return of RM30,000 the next day with investment of RM1,500"
1555,Mercado Bitcoin,2022,Carrying on the regulated activity of fund management without a license
1556,Potential clone entity – Pelaburan Phillip,2022,"Misusing the name and credentials of Phillip Capital Management Sdn Bhd (CMSL/A0044/2007) a licensed entity with SC for Fund Management in relation to portfolio management to carry out illegal investment scheme offering high returns e.g. return of RM15,000 in 3 hours with investment of RM500."
1557,Pelaburan Syariah VIP,2022,"• Illegal investment scheme offering high returns e.g return of RM7,000 in 6 hours with investment of RM500

• Carrying on unlicensed capital market activities of dealing in securities"
1558,Pelaburan TSI Award,2022,"• Illegal investment scheme offering high returns e.g return of RM15,000 in 3 hours with investment of RM500

• Carrying on unlicensed capital market activities of dealing in securities"
1559,PU Prime,2022,Carrying on unlicensed capital market activities of dealing in securities
1560,Pelaburan Syariah Saham / Saham Patuh Syariah / Bursa Saham Patuh Syariah,2022,"• Illegal investment scheme offering high returns e.g return of RM20,500 in 3 hours with investment of RM1,000

• Carrying on unlicensed capital market activities of fund management

• Misrepresentation and misuse of SC’s name"
1561,Pelaburan Crypto Malaysia,2022,"• Illegal investment scheme offering high returns e.g return of RM10,000 in 6 hours with investment of RM500

• Carrying on unlicensed capital market activities of fund management"
1562,Pelaburan Bitcoin Malaysia,2022,"• Illegal investment scheme offering high returns e.g return of RM15,000 with investment of RM1,000

• Carrying on unlicensed capital market activities of fund management"
1563,Pelaburan Holdings Profit / Saham Profit,2022,"• Illegal investment scheme offering high returns e.g return of RM20,500 in 3 hours with investment of RM1,000

• Carrying on unlicensed capital market activities of fund management"
1564,Pelaburan Malaysia Global in.pro / Global in.pro,2022,"• Illegal investment scheme offering high returns e.g return of RM9,000 in 3-6 hours with investment of RM500

• Carrying on unlicensed capital market activities of fund management"
1565,Prima Financial,2022,"• Illegal investment scheme offering high returns e.g return of RM7,000 in 3-6 hours with investment of RM500

• Carrying on unlicensed capital market activities of fund management"
1566,Potential clone entity – Pelaburan Bursa Satu Malaysia,2022,"• Misusing the name and credentials of Bursa Malaysia Berhad (an exchange holding company under the purview of the SC and the Ministry of Finance) to carry out an illegal investment scheme offering high returns e.g return of RM9,000 in 3-6 hours with investment of RM700

• Misrepresentation, misusing SC’s name and logo"
1567,Pelaburan Saham Malaysia,2022,"• Illegal investment scheme offering high returns e.g return of RM15,000 with investment of RM1,000

• Carrying on unlicensed capital market activities of dealing in securities"
1568,Pelaburan Bursa Saham Malaysia,2022,"• Illegal investment scheme offering high returns e.g return of RM15,000 with investment of RM1,000

• Carrying on unlicensed capital market activities of dealing in securities"
1569,Pelaburan Octa FX / Octa FX Trade Malaysia,2022,"• Illegal investment scheme offering high returns e.g return of RM8,000 in 3 hours with investment of RM500

• Carrying on unlicensed capital market activities of dealing in securities"
1570,Project Traders / Rocket Trader / Chase The Dream Come True / LTC,2022,"• Illegal investment scheme offering high returns

• Carrying on unlicenced capital market activities of dealing in derivatives

• Misrepresentation, misuse of SC’s name and logo"
1571,Pelaburan Saham Online,2022,"• Illegal investment scheme offering high returns e.g. return of RM16,000 in 3 hours with investment of RM1,000

• Carrying on unlicensed capital market activities of fund management"
1572,Potential clone entity – Pelaburan Public Bank,2022,"Misusing the name and credentials of Public Bank Berhad (a licensed Commercial Bank with Bank Negara Malaysia) to carry out an illegal investment scheme offering high returns e.g. return of RM15,000 in 3-6 hours with investment of RM1,000"
1573,Pelaburan Bijak Malaysia,2022,"• Illegal investment scheme offering high returns e.g. return of RM15,000 in 6 hours with investment of RM1,000

• Carrying on unlicensed capital market activities of dealing in securities"
1574,Potential clone entity – Pelaburan Bursa Syariah,2022,"Misusing the name and credentials of Bursa Malaysia Berhad (an exchange holding company under the purview of the SC and the Ministry of Finance) to carry out an illegal investment scheme offering high returns e.g return of RM7,000 with investment of RM500"
1575,Pelaburan Terbuka,2022,"• Illegal investment scheme offering high returns e.g return of RM7,000 in 6 hours with investment of RM500

• Carrying on unlicensed capital market activities of dealing in securities"
1576,Pelaburan Minda Saham,2022,"• Illegal investment scheme offering high returns e.g return of RM15,000 in 3 hours with investment of RM1,000

• Carrying on unlicensed capital market activities of dealing in securities"
1577,Pelaburan BTC Malaysia,2022,"• Illegal investment scheme offering high returns e.g return of RM7,500 in 3 hours with investment of RM500

• Carrying on unlicensed capital market activities of dealing in securities

•  Misrepresentation and misuse of SC’s name"
1578,Potential clone entity – PNB Syariah Malaysia,2022,"Misusing the name and credentials of Permodalan Nasional Bhd, a licensed entity with SC for Fund Management to carry out an illegal investment scheme"
1579,Potential clone entity – Pelaburan XM,2022,"• Possible clone operating an illegal investment scheme

• Carrying on unlicensed capital market activities of dealing in securities"
1580,Pelaburan Bursa Malaysia,2022,"• Illegal investment scheme offering high returns e.g return of RM15,000 in 6 hours with investment of RM1,000

• Carrying on unlicensed capital market activities of dealing in securities"
1581,Potential clone entity – Public Mutual Berhad Online Telegram Group,2022,"Misusing the name and credentials of Public Mutual Berhad (eCMSL/A0148/2007) a licensed entity with SC for Dealing in Securities restricted to unit trust, Fund Management in relation to portfolio management, Dealing in Private Retirement Scheme and Financial Planning to carry out an illegal investment scheme offering high returns e.g. return of RM7,000 in 3 hours with investment of RM500."
1582,Pelaburan Global Saham (Investation Malaysia) / Pelaburan Bursa Saham,2022,"• Illegal investment scheme offering high returns e.g return of RM9,000 in 3-6 hours with investment of RM500

• Carrying on unlicensed capital market activities of fund management"
1583,Pelaburan XM Malaysia / Saham Komuniti XM / XM Trader Malaysia / XM Master Trading / XM Member of Trader / XM Broker,2022,"• Carrying on unlicensed capital market activities of dealing in securities• Illegal investment scheme offering high returns e.g return of RM7,000 in 6 hours with investment of RM500• Misrepresentation, misusing SC's name and logo"
1584,Prima Trading Malaysia,2022,"• Carrying on unlicensed capital market activities of dealing in securities

• Illegal investment scheme offering high returns e.g return of RM575 in 1 day with investment of RM500"
1585,Potential clone entity – Pelaburan Amanah Malaysia / Pelaburan Saham Malaysia / Pelaburan Amanah Saham Malaysia,2022,"Misusing the name and credentials of Amanah Saham Malaysia Fund, a fund offered by Amanah Saham Nasional Berhad (a licensed entity with SC for dealing in Securities) to carry out an illegal investment scheme offering high returns e.g return of RM7,000 in 3-6 hours with investment of RM500"
1586,Potential clone entity – PT Maybank Asset Management / PT Maybank Asset Management (Maybank Am) / PT Maybank Management,2022,"• Misusing the name and credentials of Maybank Asset Management Sdn Bhd a licensed entity with SC for Dealing in Securities restricted to unit trust and Fund Management

• Misusing the name and credentials of Maybank Investment Bank Berhad a licensed entity with SC for Dealing in Securities, Clearing, Dealing in Derivatives, Advising on Corporate Finance and Investment Advice

• Possible clones operating an illegal investment scheme offering high returns e.g. return of RM6,500 in 6 hours with investment of RM350"
1587,Potential clone entity – PT Affin Hwang Kapital Asset Management,2022,"Misusing the name and credentials of Affin Hwang Asset Management Berhad a licensed entity with SC for Dealing in Securities, Fund Management and Dealing in Private Retirement Scheme to carry out an illegal investment scheme offering high returns e.g. return of RM6,500 in 6 hours with investment of RM350"
1588,PSMTrade,2022,"• Carrying on unlicensed capital market activities of dealing in securities

• Misrepresentation, misuse of SC’s name"
1589,Illegal Investment scheme called – Pelaburan Saham Syariah / Saham Investment Syariah,2022,"• Carrying on unlicensed capital market activities of dealing in securities

• Illegal investment scheme offering high returns e.g. return of RM11,000 in 6 hours with investment of RM700"
1590,Saracen Markets,2022,Carrying on unlicensed capital market activities of dealing in securities
1591,Potential clone entity – Scope Markets Ltd,2022,"• Possible clone operating an illegal investment scheme offering high returns e.g. return of RM15,000 in 3-6 hours with investment of RM1,000

• Carrying on unlicensed capital market activities of dealing in securities"
1592,StarTrader,2022,Carrying on unlicensed capital market activities of dealing in securities
1593,SMIDA,2022,Carrying on unlicensed capital market activities of dealing in securities
1594,Syariah Saham,2022,"• Illegal investment scheme offering high returns e.g. return of RM15,000 in 3-5 hours with investment of RM1,000

• Carrying on unlicensed capital market activities of fund management"
1595,Saracen Markets,2022,Carrying on unlicensed capital market activities of dealing in securities
1596,Smart Saham,2022,Carrying on unlicensed capital market activities of dealing in securities
1597,Sultan Pelaburan Malaysia,2022,"• Illegal investment scheme offering high returns e.g return of RM7,000 in 3-6 hours with investment of RM500

• Carrying on unlicensed capital market activities of dealing in securities"
1598,Smart Trader Group Global,2022,Carrying out of the unlicensed capital market activities of dealing in securities
1599,Smart Blend Remit,2022,"• Platform operating an Illegal investment scheme

• Carrying on unlicensed capital market activities of fund management

• Misrepresentation, misuse of SC’s name"
1600,Syed Arjuna Binary Telegram Group,2022,"• Illegal investment scheme offering high returns e.g return of RM15,000 in 3 hours with investment of RM1,000

• Carrying on unlicensed capital market activities of dealing in securities

• Misrepresentation, misuse of SC’s name"
1601,Sage Capital Research,2022,Carrying on unlicensed capital market activities of providing investment advice
1602,Potential clone entity – S.A.M. Trade Genesis Malaysia,2022,"• Possible clone operating an Illegal investment scheme offering high returns e.g return of RM8,000 in 3 hours with investment of RM500

• Carrying on unlicensed capital market activities of dealing in securities"
1603,SMART Account Real / SMART Trader,2022,"• Illegal investment scheme offering high returns e.g return of RM7,000 in 6 hours with investment of RM500

• Carrying on unlicensed capital market activities of fund management"
1604,Spacex Trade,2022,Carrying on unlicensed capital market activities of dealing in securities
1605,Potential clone entity – XRP Trading,2022,"• Possible clone operating an Illegal investment scheme

• Carrying on unlicensed capital market activities of fund management

• Misrepresentation, misuse of SC’s name"
1606,XPro Markets,2022,Carrying on unlicensed capital market activities of dealing in securities
1607,Potential clone entity – Exness Malaysia,2022,"• Possible clone operating an illegal investment scheme offering high returns e.g return of RM5,000 in 3-6 hours with investment of RM500• Carrying on unlicensed capital market activities of dealing in securities"
1608,XM Trading Forex / XM Million Sdn. Bhd. / XM Million Optional,2022,"• Carrying on unlicensed capital market activities of dealing in securities

• Illegal investment scheme offering high returns e.g return of RM7,000 in 6 hours with investment of RM500"
1609,KeepBit,2024,Operating a digital asset exchange (DAX) without registration
1610,Baorui,2024,"• Operating a digital asset exchange (DAX) without registration
• Misrepresentation and misuse of SC’s name and logo"
1611,Starcoinage,2024,Operating a digital asset exchange (DAX) without registration.
1612,Potential clone entity - Apex Anchor Capital,2024,"• Possible clone operating an illegal investment scheme
• Carrying on unlicensed capital market activities of dealing in securities"
1613,Potential clone entity – AxiTrader / Smart2returns,2024,"·  Possible clone operating an illegal investment scheme offering high returns e.g return of RM15,250 with investment of RM350

·   Misrepresentation and misuse of SC’s logo"
1614,Potential clone entity – MTDC / Pilihan Anda / ATF Investment Group 477,2024,"Misusing the name and credentials of Malaysian Technology Development Corporation Sdn Bhd (VCPE/0081/2022) a registered entity with SC for Venture Capital / Private Equity (Venture Capital Management Corporation) to carry out an illegal investment scheme offering high returns e.g return of RM6,300 in 12-18 hours with investment of RM350"
1615,Alva International,2024,"· Illegal investment scheme offering high returns e.g return of RM7,500 with investment of RM300

· Carrying on unlicensed capital market activities of dealing in securities"
1616,Potential clone entity – ASNB Trade,2024,Misusing the name and credentials of Amanah Saham Nasional Berhad (CMSL/A0242/2008) a licensed entity with SC for dealing in Securities to carry out an illegal investment scheme offering high returns
1617,Ambient Research,2024,Carrying out unlicensed capital market activities of providing investment advice
1618,AxiTrader,2024,Carrying on unlicensed capital market activities of dealing in securities
1619,Potential clone entity – AUMENT Trade Pro,2024,"• Possible clone operating an illegal investment scheme

• Carrying on unlicensed capital market activities of dealing in securities"
1620,Potential clone entity – Arab Investment Company,2024,"• Possible clone operating an illegal investment scheme offering high returns e.g return of RM3,000 in 24 hours with investment of RM300

• Carrying on unlicensed capital market activities of dealing in securities

• Misrepresentation and misuse of SC’s name and logo"
